Looks.ordinal,Looks.onset,Looks.offset,Looks.num_looks,Phase.ordinal,Phase.onset,Phase.offset,Phase.phase_num
0,28797,0,0,0,24682,28797,1
1,31476,0,0,1,28798,31476,2
2,47361,0,0,2,43282,47361,1
3,49993,0,0,3,47362,49993,2
4,64530,0,1,4,58817,64530,1
5,66980,0,0,5,64531,66980,2
6,86495,0,1,6,81873,86495,1
7,88740,0,1,7,86496,88740,2
8,102237,0,1,8,97989,102237,1
9,109820,0,2,9,102238,109820,2
10,123657,0,1,10,119344,123657,1
11,131852,0,1,11,123658,131852,2
12,146845,0,0,12,140798,146845,1
13,154904,0,2,13,146846,154904,2
14,172923,0,0,14,166991,172923,1
15,175542,0,2,15,172924,175542,2
16,190399,0,0,16,185043,190399,1
17,213520,0,2,17,190400,213520,2
18,229253,0,1,18,224548,229253,1
19,233172,0,2,19,229254,233172,2
20,252857,0,1,20,246904,252857,1
21,266992,0,0,21,252858,266992,2
22,282437,0,2,22,277068,282437,1
23,309944,0,4,23,282438,309944,2
24,330648,0,1,24,320311,330648,1
25,334220,0,0,25,330649,334220,2
26,350063,0,2,26,345103,350063,1
27,354076,0,0,27,350064,354076,2
28,368423,0,1,28,362753,368423,1
29,370634,0,0,29,368424,370634,2